endophyte,rep,trial,fg,colony_area
37,1,1,24a,na
37,2,1,24a,na
37,3,1,24a,na
37,1,1,76j,6.271
37,2,1,76j,3.291
37,3,1,76j,4.19
37,1,1,93D,12.291
37,2,1,93D,12.106
37,3,1,93D,12.013
37,1,1,107H,9.512
37,2,1,107H,6.474
37,3,1,107H,6.361
37,1,1,107M,4.724
37,2,1,107M,3.42
37,3,1,107M,4.789
37,1,1,760,10.576
37,2,1,760,8.62
37,3,1,760,7.68
37,1,1,PH-1,8.722
37,2,1,PH-1,7.537
37,3,1,PH-1,5.328
40,1,1,24a,na
40,2,1,24a,na
40,3,1,24a,na
40,1,1,76j,3.799
40,2,1,76j,2.219
40,3,1,76j,3.086
40,1,1,93D,13.496
40,2,1,93D,10.672
40,3,1,93D,11.92
40,1,1,107H,9.082
40,2,1,107H,8.721
40,3,1,107H,5.691
40,1,1,107M,5.519
40,2,1,107M,6.078
40,3,1,107M,3.141
40,1,1,760,3.582
40,2,1,760,4.291
40,3,1,760,2.968
40,1,1,PH-1,4.516
40,2,1,PH-1,4.129
40,3,1,PH-1,2.324
70,1,1,24a,na
70,2,1,24a,na
70,3,1,24a,na
70,1,1,76j,3.12
70,2,1,76j,2.747
70,3,1,76j,3.452
70,1,1,93D,10.952
70,2,1,93D,11.039
70,3,1,93D,10.303
70,1,1,107H,10.184
70,2,1,107H,8.678
70,3,1,107H,4.485
70,1,1,107M,5.482
70,2,1,107M,3.546
70,3,1,107M,3.62
70,1,1,760,10.559
70,2,1,760,10.221
70,3,1,760,8.649
70,1,1,PH-1,5.65
70,2,1,PH-1,5.39
70,3,1,PH-1,6.459
no endophyte,1,1,24a,na
no endophyte,2,1,24a,na
no endophyte,3,1,24a,na
no endophyte,1,1,76j,4.585
no endophyte,2,1,76j,3.966
no endophyte,3,1,76j,3.485
no endophyte,1,1,93D,13.234
no endophyte,2,1,93D,10.016
no endophyte,3,1,93D,7.972
no endophyte,1,1,107H,4.73
no endophyte,2,1,107H,5.458
no endophyte,3,1,107H,4.86
no endophyte,1,1,107M,3.248
no endophyte,2,1,107M,3.252
no endophyte,3,1,107M,2.969
no endophyte,1,1,760,6.743
no endophyte,2,1,760,5.165
no endophyte,3,1,760,4.148
no endophyte,1,1,PH-1,6.317
no endophyte,2,1,PH-1,5.034
no endophyte,3,1,PH-1,7.945
no endophyte,1,2,24a,3.172
no endophyte,2,2,24a,3.392
no endophyte,3,2,24a,2.84
40,1,2,24a,2.835
40,2,2,24a,2.392
40,3,2,24a,3.046
37,1,2,24a,3.024
37,2,2,24a,2.566
37,3,2,24a,1.963
70,1,2,24a,2.833
70,2,2,24a,4.29
70,3,2,24a,3.942
no endophyte,1,2,76j,2.397
no endophyte,2,2,76j,2.217
no endophyte,3,2,76j,2.675
40,1,2,76j,1.619
40,2,2,76j,1.484
40,3,2,76j,1.468
37,1,2,76j,1.82
37,2,2,76j,1.606
37,3,2,76j,1.534
70,1,2,76j,2.003
70,2,2,76j,2.29
70,3,2,76j,2.284
no endophyte,1,2,93D,2.467
no endophyte,2,2,93D,2.13
no endophyte,3,2,93D,2.828
40,1,2,93D,2.648
40,2,2,93D,2.572
40,3,2,93D,2.431
37,1,2,93D,2.876
37,2,2,93D,3.075
37,3,2,93D,2.142
70,1,2,93D,1.728
70,2,2,93D,1.925
70,3,2,93D,1.872
no endophyte,1,2,107H,1.764
no endophyte,2,2,107H,2.763
no endophyte,3,2,107H,1.7
40,1,2,107H,1.807
40,2,2,107H,2.565
40,3,2,107H,1.75
37,1,2,107H,1.547
37,2,2,107H,1.389
37,3,2,107H,1.312
70,1,2,107H,1.914
70,2,2,107H,1.307
70,3,2,107H,1.444
no endophyte,1,2,107M,3.534
no endophyte,2,2,107M,3.079
no endophyte,3,2,107M,2.488
40,1,2,107M,2.382
40,2,2,107M,1.778
40,3,2,107M,1.641
37,1,2,107M,2.192
37,2,2,107M,2.212
37,3,2,107M,1.461
70,1,2,107M,2.016
70,2,2,107M,1.543
70,3,2,107M,2.633
no endophyte,1,2,760,4.776
no endophyte,2,2,760,3.702
no endophyte,3,2,760,6.025
40,1,2,760,2.595
40,2,2,760,2.311
40,3,2,760,1.472
37,1,2,760,2.179
37,2,2,760,2.141
37,3,2,760,1.723
70,1,2,760,2.173
70,2,2,760,2.141
70,3,2,760,2.5
no endophyte,1,2,PH-1,2.983
no endophyte,2,2,PH-1,2.677
no endophyte,3,2,PH-1,2.349
40,1,2,PH-1,3.981
40,2,2,PH-1,3.093
40,3,2,PH-1,2.036
37,1,2,PH-1,4.549
37,2,2,PH-1,4.831
37,3,2,PH-1,2.905
70,1,2,PH-1,2.632
70,2,2,PH-1,2.074
70,3,2,PH-1,4.299
no endophyte,1,2,107M,na
no endophyte,2,2,107M,na
no endophyte,3,2,107M,na
no endophyte,1,2,760,na
no endophyte,2,2,760,na
no endophyte,3,2,760,na
no endophyte,1,2,PH-1,na
no endophyte,2,2,PH-1,na
no endophyte,3,2,PH-1,na
37,1,3,24a,na
37,2,3,24a,na
37,3,3,24a,na
37,1,3,76j,na
37,2,3,76j,na
37,3,3,76j,na
37,1,3,93D,na
37,2,3,93D,na
37,3,3,93D,na
37,1,3,107H,na
37,2,3,107H,na
37,3,3,107H,na
37,1,3,107M,na
37,2,3,107M,na
37,3,3,107M,na
37,1,3,760,na
37,2,3,760,na
37,3,3,760,na
37,1,3,PH-1,na
37,2,3,PH-1,na
37,3,3,PH-1,na
40,1,3,24a,na
40,2,3,24a,na
40,3,3,24a,na
40,1,3,76j,na
40,2,3,76j,na
40,3,3,76j,na
40,1,3,93D,na
40,2,3,93D,na
40,3,3,93D,na
40,1,3,107H,na
40,2,3,107H,na
40,3,3,107H,na
40,1,3,107M,na
40,2,3,107M,na
40,3,3,107M,na
40,1,3,760,na
40,2,3,760,na
40,3,3,760,na
40,1,3,PH-1,na
40,2,3,PH-1,na
40,3,3,PH-1,na
70,1,3,24a,na
70,2,3,24a,na
70,3,3,24a,na
70,1,3,76j,na
70,2,3,76j,na
70,3,3,76j,na
70,1,3,93D,na
70,2,3,93D,na
70,3,3,93D,na
70,1,3,107H,na
70,2,3,107H,na
70,3,3,107H,na
70,1,3,107M,na
70,2,3,107M,na
70,3,3,107M,na
70,1,3,760,na
70,2,3,760,na
70,3,3,760,na
70,1,3,PH-1,na
70,2,3,PH-1,na
70,3,3,PH-1,na
no endophyte,1,3,24a,na
no endophyte,2,3,24a,na
no endophyte,3,3,24a,na
no endophyte,1,3,76j,na
no endophyte,2,3,76j,na
no endophyte,3,3,76j,na
no endophyte,1,3,93D,na
no endophyte,2,3,93D,na
no endophyte,3,3,93D,na
no endophyte,1,3,107H,na
no endophyte,2,3,107H,na
no endophyte,3,3,107H,na
no endophyte,1,3,107M,na
no endophyte,2,3,107M,na
no endophyte,3,3,107M,na
no endophyte,1,3,760,na
no endophyte,2,3,760,na
no endophyte,3,3,760,na
no endophyte,1,3,PH-1,na
no endophyte,2,3,PH-1,na
no endophyte,3,3,PH-1,na